// Gentilicis estrangers
// Agafats del llibre de na C. Rigo i na M.M. Ramon

abkhaz
tlaxcalteca
togolès togolesa
tolosà tolosana
tongalès tongalesa
torinès torinesa
toscà toscana
traci tràcia
transilvà transilvana
tridentí tridentina
tripolità tripolitana
troià troiana
tunisenc tunisenca
tunisià tunisiana
turc turca
turcman turcmana
turdetà turdetana
turingi turíngia
tusculà tusculana
txadià txadiana
txec txeca
txecoslovac txecoslovaca
txerkès txerkesa
txetxè txetxena
ubanguià ubanguiana
ucraïnès ucraïnesa
udmurt
ugandès ugandesa
umbre umbra
urarti uràrtia
uruguaià uruguaiana
valdès valdesa
valentinès valentinesa
valldostà valldostana
való valona
varsovià varsoviana
venecià veneciana
veneçolà veneçolana
veronès veronesa
vienès vienesa
vietnamita
virginià virginiana
volinià voliniana
vènet vèneta
westfalià westfaliana
xilè xilena
xinès xinesa
xipriota
zairès zairesa
zambià zambiana
zanzibarès zanzibaresa
zelandès zelandesa
zimbabwès zimbabwesa
zulu
àrab
àtic àtica
àuson àusona

